フィールド名（画面表示）,フィールドコード,フィールド種類,kintone上の型コード,必須,値の重複を禁止,説明・用途・備考
タイトル,title,文字列（1行）,SINGLE_LINE_TEXT,推奨,いいえ,Security NEXT 記事タイトル（RSSのtitle）。collect が投入
URL,article_url,文字列（1行）,SINGLE_LINE_TEXT,はい,はい,記事URL。重複登録判定に使用。collect が投入
公開日,published_date,日付,DATE,いいえ,いいえ,RSS公開日をJSTで日付のみ。collect が投入（field-codes.ts 正本と一致）
概要,summary,文字列（複数行）,MULTI_LINE_TEXT,いいえ,いいえ,RSS抜粋。collect が投入
要約,digest,文字列（複数行）,MULTI_LINE_TEXT,いいえ,いいえ,collect は概要と同じ RSS 抜粋を投入。手入力で上書き可
採用キーワード,match_keywords_display,文字列（1行）,SINGLE_LINE_TEXT,いいえ,いいえ,マッチしたキーワードのカンマ区切り。一覧の表示用
採用メタJSON（内部）,internal_match_meta_json,文字列（複数行）,MULTI_LINE_TEXT,いいえ,いいえ,マッチ詳細のJSON。監査・デバッグ用（一覧では非表示推奨）
ソース（内部）,internal_source,文字列（1行）,SINGLE_LINE_TEXT,いいえ,いいえ,rss / nvd
Gemini成否（内部）,internal_gemini_mark,文字列（1行）,SINGLE_LINE_TEXT,いいえ,いいえ,Y=全文 / I=見解のみ / N=材料のみ
要レビュー,needs_review,チェックボックス,CHECK_BOX,いいえ,いいえ,複合条件で自動セット。品質確認が必要なレコード
重大度区分（内部）,internal_severity_tier,文字列（1行）,SINGLE_LINE_TEXT,いいえ,いいえ,normal / exception
